wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:57 +0000] "GET /tag/retention/feed/ HTTP/1.1" 200 15922 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/smart-collars/feed/ HTTP/1.1" 200 13449 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/site-architecture/feed/ HTTP/1.1" 200 12788 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.151220 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:42476] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.151220 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:42486] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.151220 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:42464] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.160367 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:42488] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/startup/feed/ HTTP/1.1" 200 11391 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/solo-founder/feed/ HTTP/1.1" 200 11411 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/startups/feed/ HTTP/1.1" 200 31861 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/task-management/feed/ HTTP/1.1" 200 37812 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.231953 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42504] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.231953 2026] [php:warn] [pid 24:tid 24] [client 127.0.0.1:42492] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.231953 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:42506] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.232016 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:42514] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/testing/feed/ HTTP/1.1" 200 14098 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/tech-founders/feed/ HTTP/1.1" 200 12911 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/tech-stacks/feed/ HTTP/1.1" 200 14283 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/time-tracking-2/feed/ HTTP/1.1" 200 13183 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.301350 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42504] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.301350 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:42506] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.301350 2026] [php:warn] [pid 24:tid 24] [client 127.0.0.1:42492] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.301364 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:42514] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/time-tracking/feed/ HTTP/1.1" 200 12652 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/tools/feed/ HTTP/1.1" 200 28105 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/time-blocking/feed/ HTTP/1.1" 200 23467 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/time-management/feed/ HTTP/1.1" 200 33739 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.381008 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:42518] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.381008 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:42530] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.381008 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:42520] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.381077 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:42532] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/user-experience/feed/ HTTP/1.1" 200 12780 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/typography/feed/ HTTP/1.1" 200 14597 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/value-based-pricing/feed/ HTTP/1.1" 200 13201 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/ux/feed/ HTTP/1.1" 200 28866 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.446936 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:42518] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.446937 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:42520] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.446944 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:42530] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.456277 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:42532] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/vesting/feed/ HTTP/1.1" 200 10666 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/webhooks/feed/ HTTP/1.1" 200 23390 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/workflow/feed/ HTTP/1.1" 200 108152 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/workflow-design/feed/ HTTP/1.1" 200 14969 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.534236 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:42534] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.534236 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:42550] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.534236 2026] [php:warn] [pid 24:tid 24] [client 127.0.0.1:42544] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:09:58.534242 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:42560] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/workflows/feed/ HTTP/1.1" 200 106247 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /tag/zapier/feed/ HTTP/1.1" 200 116104 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.590872 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:42534] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /author/openclaw-agent/page/4/ HTTP/1.1" 200 77660 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /author/openclaw-agent/page/5/ HTTP/1.1" 200 78404 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /page/5/ HTTP/1.1" 200 132414 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:09:58.867743 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:42534] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:09:58 +0000] "GET /page/6/ HTTP/1.1" 200 132422 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://techtools.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:16.067821 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:47576] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:16.067822 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:47606] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:16.067846 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:47592] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:16.067968 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:47582] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /wp-sitemap.xml HTTP/1.1" 301 269 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /robots.txt HTTP/1.1" 200 475 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /wp-includes/js/wp-emoji.js HTTP/1.1" 200 9229 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /wp-includes/js/wp-emoji-release.min.js HTTP/1.1" 200 18987 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:16.175146 2026] [php:warn] [pid 451:tid 451] [client 127.0.0.1:47606] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /wp-includes/js/twemoji.js HTTP/1.1" 200 33195 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /404_not_found/ HTTP/1.1" 404 37777 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET /sitemap_index.xml HTTP/1.1" 200 1019 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:16 +0000] "GET / HTTP/1.1" 200 44658 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:17.947168 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:47620] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:17.947193 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:47608] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /wp-content/themes/openclaw-hub/style.css?ver=0.5.0 HTTP/1.1" 200 7736 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /wp-content/themes/openclaw-base/style.css?ver=0.1.4 HTTP/1.1" 200 12956 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:17.958365 2026] [php:warn] [pid 24:tid 24] [client 127.0.0.1:47622] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:17.967724 2026] [php:warn] [pid 27:tid 27] [client 127.0.0.1:47634] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /feed/ HTTP/1.1" 200 2552 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /comments/feed/ HTTP/1.1" 200 2119 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /wp-json/ HTTP/1.1" 200 205740 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:18.014460 2026] [php:warn] [pid 19:tid 19] [client 127.0.0.1:47620] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:18.014460 2026] [php:warn] [pid 412:tid 412] [client 127.0.0.1:47608] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:17 +0000] "GET /about/ HTTP/1.1" 200 40351 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /privacy/ HTTP/1.1" 200 41586 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /contact/ HTTP/1.1" 200 39915 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:18.119713 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:47648] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:18.119713 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:47652] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:18.119756 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:47636] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:18.119763 2026] [php:warn] [pid 289:tid 289] [client 127.0.0.1:47666] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /category-sitemap.xml HTTP/1.1" 200 973 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /author-sitemap.xml HTTP/1.1" 200 1085 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /post-sitemap.xml HTTP/1.1" 200 1075 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /page-sitemap.xml HTTP/1.1" 200 1346 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:18.189389 2026] [php:warn] [pid 324:tid 324] [client 127.0.0.1:47648] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /wp-content/plugins/wordpress-seo/css/main-sitemap.xsl HTTP/1.1" 200 4413 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
wordpress-1  | [Thu Jul 30 01:11:18.212661 2026] [php:warn] [pid 228:tid 228] [client 127.0.0.1:47636] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | [Thu Jul 30 01:11:18.212661 2026] [php:warn] [pid 481:tid 481] [client 127.0.0.1:47652] PHP Warning:  Constant WP_ALLOW_MULTISITE already defined in /var/www/html/wp-config.php on line 134
wordpress-1  | 127.0.0.1 - - [30/Jul/2026:01:11:18 +0000] "GET /2026/07/22/hello-world/ HTTP/1.1" 200 44883 "-" "StaaticWordPress/1.12.5 (WordPress 6.7.5; http://hub.localhost:8088/) GuzzleHttp/7"
